throttle [PWM],thrust [kg f]
1102.831883,1.760328924
1109.926906,1.765080056
1117.190857,1.729446572
1125.130526,1.632523495
1132.732336,1.558405848
1140.768535,1.550261051
1147.935955,1.48510268
1155.917856,1.446160372
1163.139575,1.40696354
1171.079244,1.341437522
1178.343195,1.266211277
1185.438218,1.228202228
1193.546815,1.200034807
1201.148625,1.171528019
1208.750435,1.123677341
1216.13505,1.081935259
1223.700661,1.033405848
1231.33867,0.996414897
1239.157675,0.952636617
1246.759485,0.914966934
1254.1441,0.882387748
1261.709711,0.833858336
1268.913331,0.809084581
1277.166725,0.772432997
1284.768535,0.724582318
1292.116951,0.6913244
1299.972155,0.658405848
1308.080752,0.620057431
1314.95858,0.58510268
1322.270797,0.544039332
1330.1622,0.511799513
1338.415593,0.467003133
1346.089802,0.42050992
1353.438218,0.387252001
1360.533241,0.349242952
1368.388444,0.325487296
1376.424643,0.295962409
1383.592064,0.24709363
1390.687087,0.230464671
1398.795684,0.20229725
1406.397494,0.161573268
1413.492517,0.144944309
1421.094326,0.116437522
1428.94953,0.092681866
1436.297946,0.059423947
1444.976679,0.052891142
1452.008354,0.019039332
1459.610164,0.019039332
1466.705186,0.002410372
1475.320571,0.00709189
1482.415593,0.037974243
1490.017403,0.037974243
1497.619213,0.042046641
1505.727811,0.064105465
1512.252698,0.068262704
1520.931431,0.092612252
1528.533241,0.121119039
1535.881657,0.154376958
1543.230073,0.18050818
1550.325096,0.20188827
1558.433693,0.244648451
1566.035503,0.273155238
1573.854507,0.306752523
1581.239123,0.3586756
1589.058127,0.392272885
1596.442743,0.454173338
1604.424643,0.478047772
1611.646363,0.53887922
1619.030978,0.599965193
1627.284372,0.644761573
1634.641838,0.698975374
1641.836408,0.754716324
1649.148625,0.795779673
1656.822833,0.83209189
1665.293422,0.872815872
1672.678037,0.933901845
1680.279847,0.978698225
1687.447268,1.027567003
1695.266272,1.08050818
1703.085277,1.133449356
1710.469892,1.185372433
1718.071702,1.215660895
1725.456317,1.284128089
1732.768535,1.337408632
1740.442743,1.373720849
1748.478942,1.433025148
1755.827358,1.503698225
1763.872607,1.536362252
1771.501566,1.589557953
1779.456317,1.636136008
1786.487992,1.701345284
1794.343195,1.779263836
1801.691612,1.842453881
1809.040028,1.931300035
1816.726302,1.966933519
1824.497041,2.042357727
1832.352245,2.092838496
1839.700661,2.117188044
1847.302471,2.154603202
1855.474417,2.184891664
1862.288897,2.253358858
1870.107901,2.288228768
1877.709711,2.352725374
1885.564915,2.434919944
1893.564915,2.463087365
1898.234598,2.503811347
